108.4,260.48,64.15,57.33
107.9,263.17,64.57,58.27
102.7,260.48,67.90,60.80
102.3,263.17,68.03,60.73
106.5,260.48,65.34,57.74
104.7,263.17,66.49,59.48
105.3,260.48,66.15,59.84
106.1,263.17,65.62,58.67
89.6,260.48,66.72,58.94
118.7,263.19,67.01,60.60
108.8,260.50,63.95,58.14
107.4,263.19,64.77,57.99
87.4,260.50,68.25,60.61
119.2,263.19,66.73,60.49
105.5,260.50,65.96,59.03
103.7,263.19,67.20,60.15
119.9,260.50,66.45,59.90
89.8,263.19,66.47,59.72
121.3,260.50,65.60,58.60
102.0,263.20,68.23,60.63
105.9,260.52,65.69,58.00
103.7,263.20,67.14,60.16
103.7,260.52,67.22,59.82
105.2,263.20,66.13,58.72
107.0,260.53,65.00,57.51
103.3,263.22,67.39,59.54
106.8,260.53,65.10,57.65
102.4,263.22,68.01,60.25
91.6,260.53,65.11,58.43
117.5,263.22,67.71,60.15
105.5,260.53,65.97,58.10
104.9,263.22,66.34,59.02
92.2,260.53,64.73,58.15
120.2,263.22,66.22,59.22
104.2,260.53,66.89,60.44
90.5,263.22,65.96,59.02
120.8,260.53,65.95,58.76
103.8,263.22,67.01,59.67
106.0,260.53,65.65,57.90
89.8,263.22,66.49,59.17
117.4,260.53,67.83,60.62
104.6,263.22,66.55,59.16
104.4,260.53,66.69,58.91
118.4,263.22,67.21,59.45
91.8,260.53,65.04,57.88
118.4,263.22,67.21,59.40
106.3,260.53,65.46,57.55
88.9,263.22,67.09,59.60
105.9,260.53,65.73,57.70
105.0,263.22,66.24,58.49
120.4,260.53,66.03,58.53
104.2,263.22,66.77,59.26
106.5,260.53,65.34,57.38
119.8,263.22,66.40,59.07
91.2,260.53,65.43,57.71
105.4,263.22,66.07,58.56
105.2,260.53,66.13,58.30
116.1,263.22,68.53,60.78
91.3,260.53,65.37,57.29
118.1,263.22,67.34,59.75
107.1,260.53,65.02,57.31
105.0,263.22,66.32,58.59
105.8,260.53,65.78,58.37
104.5,263.22,66.62,59.16
106.4,260.53,65.45,57.50
116.5,263.23,76.88,69.23
102.8,260.55,67.84,60.57
101.8,263.23,68.36,60.72
105.1,260.55,66.22,58.90
103.8,263.23,67.09,60.99
105.2,260.55,66.29,59.53
118.9,263.23,66.92,60.12
