CPU_Percent,RAM_MB,Total_Latency_ms,Inference_Latency_ms
336.6,832.27,68.06,41.39
335.9,832.27,65.08,45.17
341.3,832.27,66.96,44.81
310.6,832.27,67.19,45.19
329.1,832.28,63.41,43.75
317.0,832.28,78.34,56.97
356.3,832.28,64.30,48.81
306.5,832.28,94.26,78.40
361.7,832.28,52.23,45.06
348.2,832.28,57.06,46.75
352.2,832.28,59.30,49.41
363.7,832.28,68.35,51.94
353.0,832.28,59.09,42.49
336.8,832.28,68.04,40.20
338.2,832.28,64.81,45.56
325.7,832.28,61.13,38.72
317.1,832.28,78.52,50.95
339.2,832.28,67.59,49.92
330.4,832.28,66.36,50.41
369.9,832.28,67.37,51.96
346.0,832.28,66.26,45.35
337.9,832.28,64.89,47.27
338.2,832.28,61.83,43.39
341.7,832.28,61.10,41.14
338.3,832.28,67.65,43.87
318.4,832.28,71.99,43.88
318.8,832.28,68.72,48.25
356.0,832.28,67.07,47.45
291.8,832.28,105.96,60.60
309.3,832.28,61.05,53.41
368.5,832.28,59.36,49.75
369.0,832.28,51.23,42.25
363.4,832.28,60.15,53.43
368.9,832.28,53.89,43.14
319.5,832.28,62.38,40.61
330.6,832.28,78.41,53.18
354.0,832.28,64.76,44.49
348.3,832.28,60.03,41.79
326.7,832.28,73.13,50.50
332.3,832.28,74.96,57.45
354.0,832.28,58.91,47.47
351.2,832.28,65.11,42.98
348.9,832.28,68.48,50.01
345.0,832.28,63.51,45.89
345.5,832.28,60.49,39.60
338.0,832.28,67.67,41.77
322.6,832.28,61.61,39.17
313.9,832.28,66.56,40.83
336.3,832.28,71.10,40.86
325.7,832.28,67.30,42.91
317.1,832.28,72.29,45.73
359.1,832.28,66.61,49.35
330.3,832.28,66.33,47.25
337.4,832.28,67.84,51.43
374.6,832.28,61.12,43.81
314.3,832.28,72.85,53.61
360.8,832.28,63.52,45.79
335.5,832.28,68.32,48.64
346.7,832.28,60.30,40.68
353.8,832.28,73.12,49.74
332.8,832.28,62.76,44.68
349.4,832.28,68.43,43.75
350.5,832.28,59.52,42.80
326.1,832.28,67.09,41.36
319.9,832.28,71.51,47.07
339.6,832.28,67.39,51.02
356.4,832.28,64.31,47.98
337.5,832.28,70.88,51.23
374.1,832.28,61.21,47.21
326.3,832.28,70.15,50.43
336.6,832.28,65.14,50.51
