CPU_Percent,RAM_MB,Total_Latency_ms,Inference_Latency_ms
80.7,204.20,36.62,16.75
55.4,206.88,35.54,15.88
78.8,204.20,37.48,16.48
76.9,206.88,38.39,17.62
84.3,204.20,34.96,15.94
54.8,206.88,35.96,15.70
81.3,204.22,36.29,15.33
56.3,206.89,34.97,13.59
53.2,204.22,37.04,13.38
54.5,206.89,36.16,13.44
79.6,204.22,37.13,13.84
53.3,206.89,37.01,13.82
80.3,204.22,36.77,13.41
54.7,206.89,36.00,13.35
53.0,204.22,37.18,13.55
79.4,206.89,37.26,13.95
53.9,204.22,36.55,13.29
54.1,206.89,36.42,13.31
80.0,204.22,36.98,13.62
53.0,206.89,37.25,14.01
53.8,204.22,36.62,13.30
81.4,206.89,36.32,13.24
53.5,204.22,36.85,13.47
78.8,206.89,37.53,14.11
53.0,204.22,37.24,14.22
55.5,206.89,35.45,13.27
53.5,204.22,36.86,13.26
79.7,206.89,37.10,13.57
53.3,204.22,37.00,13.73
54.2,206.89,36.34,13.12
53.5,204.22,36.86,13.48
53.1,206.89,37.10,13.74
80.3,204.23,36.68,13.52
80.9,206.91,36.50,13.20
53.8,204.23,36.46,13.47
52.9,206.91,37.22,13.66
53.4,204.23,36.94,13.95
54.0,206.91,36.45,13.29
53.5,204.23,36.67,13.76
80.5,206.91,36.76,13.57
53.2,204.23,37.04,13.98
80.8,206.91,36.55,13.21
53.8,204.23,36.60,13.46
53.6,206.91,36.76,13.42
79.2,204.23,37.35,13.92
52.3,206.91,37.69,13.64
55.1,204.23,35.71,13.30
81.3,206.91,36.37,13.26
52.5,204.23,37.58,14.14
80.9,206.91,36.57,13.58
27.1,204.23,36.34,13.30
80.3,206.91,36.84,13.42
53.0,204.23,37.22,13.97
53.9,206.91,36.58,13.74
53.4,204.23,36.86,13.45
81.3,206.91,36.39,13.31
79.2,204.23,37.33,13.78
53.9,206.91,36.55,13.62
53.2,204.23,36.82,13.32
81.3,206.91,36.35,13.31
53.0,204.23,37.19,13.77
53.7,206.91,36.74,13.86
53.4,204.23,36.85,13.26
81.1,206.91,36.41,13.44
53.2,204.23,37.05,13.78
53.6,206.91,36.76,13.75
52.9,204.23,37.23,13.75
81.8,206.91,36.07,13.46
80.0,204.23,36.98,13.58
26.7,206.91,36.95,13.89
80.2,204.23,36.87,13.36
53.8,206.91,36.59,13.32
78.8,204.23,37.59,14.49
54.1,206.91,36.58,14.17
80.8,204.23,36.58,13.45
53.9,206.91,36.55,13.28
53.9,204.23,36.57,13.38
53.4,206.91,36.90,13.59
79.1,204.23,37.37,13.73
54.0,206.91,36.44,13.42
53.7,204.23,36.70,13.51
53.5,206.91,36.86,13.77
80.1,204.23,36.93,13.71
53.7,206.91,36.68,13.22
53.9,204.23,36.52,13.45
53.5,206.91,36.83,13.63
79.7,204.23,37.11,13.79
53.5,206.91,36.83,13.11
81.3,204.23,36.30,13.52
53.4,206.91,36.94,13.58
53.1,204.23,37.15,13.93
80.7,206.91,36.59,13.22
54.0,204.23,36.47,13.45
53.6,206.91,36.76,13.49
52.0,204.23,37.96,14.46
81.2,206.91,36.37,13.53
54.3,204.23,36.25,13.36
54.3,206.91,36.32,13.32
52.5,204.23,37.56,13.93
78.9,206.91,37.49,13.30
82.9,204.23,35.63,13.40
27.0,206.91,36.50,13.27
78.9,204.23,37.52,13.89
53.8,206.91,36.64,13.54
80.7,204.23,36.59,13.28
54.3,206.91,36.30,13.18
78.7,204.23,37.59,13.92
53.7,206.91,36.72,13.51
53.3,204.23,36.97,13.45
54.6,206.91,36.07,13.42
79.0,204.23,37.44,13.84
53.6,206.91,36.82,13.84
53.7,204.23,36.71,13.25
81.5,206.91,36.26,13.45
52.9,204.23,37.28,13.75
80.1,206.92,36.95,13.81
26.6,204.25,36.96,13.59
82.2,206.92,35.91,13.34
51.6,204.25,38.25,13.58
80.0,206.92,36.99,13.79
54.7,204.25,35.86,13.38
54.6,206.92,36.04,13.19
52.9,204.25,37.29,13.83
80.2,206.92,36.86,13.86
53.7,204.25,36.67,13.45
54.2,206.92,36.16,13.29
53.3,204.25,36.98,13.54
77.0,206.92,38.42,14.05
51.8,204.25,38.06,13.28
58.2,206.92,33.80,13.28
80.9,204.25,36.53,13.28
52.9,206.92,37.26,13.65
80.3,204.25,36.80,13.68
53.8,206.92,36.41,13.34
53.9,204.27,36.55,13.36
79.4,206.94,37.15,13.73
53.2,204.27,37.04,14.04
54.2,206.94,36.31,13.11
53.4,204.27,36.87,13.52
52.2,206.94,37.74,13.55
75.2,204.27,39.36,16.63
78.2,206.94,37.70,17.45
78.5,204.27,37.59,17.50
83.8,206.94,35.21,16.10
79.9,204.27,36.97,16.40
55.2,206.94,35.66,15.96
78.5,204.27,37.68,15.94
80.7,206.94,36.64,15.97
52.9,204.27,37.26,16.35
82.8,206.94,35.65,16.18
81.1,204.27,36.42,16.09
52.3,206.94,37.67,16.69
78.0,204.27,37.88,17.13
80.6,206.94,36.65,17.43
56.4,204.27,34.87,16.02
80.6,206.94,36.66,15.91
78.4,204.27,37.71,16.95
53.5,206.94,36.71,16.88
80.2,204.27,36.78,16.65
110.1,206.94,35.75,15.92
53.5,204.27,36.81,16.14
53.2,206.94,36.98,16.11
80.0,204.27,36.90,16.04
81.8,206.94,36.11,15.76
52.4,204.27,37.58,16.55
79.2,206.94,37.31,16.71
80.6,204.27,36.63,16.71
81.1,206.94,36.41,16.42
79.4,204.27,37.19,17.02
78.7,206.94,37.54,17.73
54.7,204.27,35.96,16.55
78.5,206.94,37.63,16.39
80.0,204.27,36.90,16.83
81.7,206.94,36.13,16.51
53.3,204.27,36.98,16.04
80.4,206.94,36.74,16.42
63.5,204.27,46.71,23.47
29.0,206.94,68.22,36.07
61.1,204.27,48.47,38.45
41.3,206.94,47.80,34.61
100.5,204.27,29.22,22.58
61.5,206.94,48.17,36.15
141.2,204.27,27.66,19.85
84.5,206.94,33.77,20.39
114.4,204.27,25.67,16.65
84.0,206.94,23.15,13.68
53.1,204.27,36.98,13.31
81.8,206.94,36.14,13.34
53.1,204.27,37.14,13.67
80.2,206.94,36.87,13.85
52.9,204.27,37.20,13.47
54.0,206.94,36.25,14.04
54.1,204.27,36.44,13.57
79.9,206.94,37.00,13.82
79.8,204.27,37.05,13.36
27.3,206.94,36.03,13.33
77.7,204.27,38.08,13.60
79.6,206.94,37.13,13.96
53.3,204.27,36.97,13.36
56.2,206.94,35.03,13.15
53.4,204.27,36.95,13.48
52.7,206.94,37.40,14.22
79.6,204.27,37.16,13.78
55.1,206.94,35.69,13.31
53.8,204.27,36.66,13.27
